FlSort,FlCde,Fleet,Flotte,Year/An,TFCde,TypeFishery,TypePêcherie,GrSort,GrCde,Gear,Engin,GrGroup,GrGroupe,GrMult,ClassLow,ClassHigh,ClassTypeCode,CLass type,noBoats_nBateaux,Fgrounds
13,"EUFRA  ",EU.FRANCE,UE.FRANCE,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,80,100,LOA,Length overall,2,PELAGIC
19,"EUESP  ",EU.SPAIN,UE.ESPAGNE,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,60,80,LOA,Length overall,14,PELAGIC
19,"EUESP  ",EU.SPAIN,UE.ESPAGNE,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,80,100,LOA,Length overall,5,PELAGIC
19,"EUESP  ",EU.SPAIN,UE.ESPAGNE,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,100,120,LOA,Length overall,3,PELAGIC
24,"IRN    ",IRAN ISLAMIC REP.,IRAN RÉP. ISLAMIQUE,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,40,60,LOA,Length overall,2,PELAGIC
24,"IRN    ",IRAN ISLAMIC REP.,IRAN RÉP. ISLAMIQUE,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,60,80,LOA,Length overall,1,PELAGIC
26,"JPN    ",JAPAN,JAPON,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,40,60,LOA,Length overall,5,PELAGIC
26,"JPN    ",JAPAN,JAPON,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,60,80,LOA,Length overall,1,PELAGIC
34,"MUS    ",MAURITIUS,MAURICE,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,40,60,LOA,Length overall,1,PELAGIC
58,"NEIPS  ",NEI.OTHER,NCA.AUTRE,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,60,80,LOA,Length overall,7,PELAGIC
59,"NEISU  ",NEI.EXSOVIET,NCA.EXSOVIÉTIQUE,1996,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,80,100,LOA,Length overall,10,PELAGIC
32,"MYS    ",MALAYSIA,MALAISIE,1996,ART,Artisanal Fishing,Pêcheries artisanales,1,PSS,Small purse seine,Senneur côtier,Purse Seine,Senne tournante,0,10,70,GRT,Gross Registered Tonnage,217,COASTAL
